sample_id	group	tissue	timepoint_hr	batch	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR28740124	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740125	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740126	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740127	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740128	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740242	delivery_ad5	dLN	1	NA	delivery_ad5	dLN	1	1	1h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740244	delivery_ad5	dLN	1	NA	delivery_ad5	dLN	1	1	1h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740246	delivery_ad5	dLN	1	NA	delivery_ad5	dLN	1	1	1h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740248	delivery_ad5	dLN	1	NA	delivery_ad5	dLN	1	1	1h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740250	delivery_ad5	dLN	1	NA	delivery_ad5	dLN	1	1	1h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
