sample_id	group	tissue	timepoint_hr	batch	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR28740199	baseline_0	Blood	0	NA	baseline_0	Blood	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740200	baseline_0	Blood	0	NA	baseline_0	Blood	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740201	baseline_0	Blood	0	NA	baseline_0	Blood	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740202	baseline_0	Blood	0	NA	baseline_0	Blood	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740203	baseline_0	Blood	0	NA	baseline_0	Blood	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740286	delivery_ad26	Blood	3	NA	delivery_ad26	Blood	3	3	3h	NA	FALSE	DELIVERY	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740287	delivery_ad26	Blood	3	NA	delivery_ad26	Blood	3	3	3h	NA	FALSE	DELIVERY	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740288	delivery_ad26	Blood	3	NA	delivery_ad26	Blood	3	3	3h	NA	FALSE	DELIVERY	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740289	delivery_ad26	Blood	3	NA	delivery_ad26	Blood	3	3	3h	NA	FALSE	DELIVERY	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
SRR28740290	delivery_ad26	Blood	3	NA	delivery_ad26	Blood	3	3	3h	NA	FALSE	DELIVERY	baseline_0	delivery_ad26__vs__baseline_0	fallback_time0
