sample_id	group	tissue	timepoint_hr	batch	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR28740124	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740125	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740126	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740127	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740128	baseline_0	dLN	0	NA	baseline_0	dLN	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740143	delivery_ad5	dLN	6	NA	delivery_ad5	dLN	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740145	delivery_ad5	dLN	6	NA	delivery_ad5	dLN	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740147	delivery_ad5	dLN	6	NA	delivery_ad5	dLN	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740149	delivery_ad5	dLN	6	NA	delivery_ad5	dLN	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740211	delivery_ad5	dLN	6	NA	delivery_ad5	dLN	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
