sample_id	group	tissue	timepoint_hr	batch	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR28740119	baseline_0	Muscle	0	NA	baseline_0	Muscle	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740120	baseline_0	Muscle	0	NA	baseline_0	Muscle	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740121	baseline_0	Muscle	0	NA	baseline_0	Muscle	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740122	baseline_0	Muscle	0	NA	baseline_0	Muscle	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740123	baseline_0	Muscle	0	NA	baseline_0	Muscle	0	0	0h	NA	TRUE	CONTROL	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740252	delivery_ad5	Muscle	6	NA	delivery_ad5	Muscle	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740253	delivery_ad5	Muscle	6	NA	delivery_ad5	Muscle	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740254	delivery_ad5	Muscle	6	NA	delivery_ad5	Muscle	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740255	delivery_ad5	Muscle	6	NA	delivery_ad5	Muscle	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
SRR28740256	delivery_ad5	Muscle	6	NA	delivery_ad5	Muscle	6	6	6h	NA	FALSE	DELIVERY	baseline_0	delivery_ad5__vs__baseline_0	fallback_time0
